Date,Time,Town / Village,Area,"Occupation
(Where Relevant)",Description
1999-02-22,18:50,St Monans,Fife,,"Bright light, pale blue and purple in the centre."
1999-02-22,20:09,Derby,Derbyshire,Police Officer,"Two large round, white/yellow lights."
1999-02-22,18:40,Glenrothes,Fife,,Two bright lights that were approximately one degree apart.
1999-02-22,19:00,Bolton,Greater Manchester,,Two objects. Top one had a pale white light. The bottom one had a red/green light. They glided along the sky.
1999-02-23,19:00,Burnley,Lancashire,,Disc with lights. Was hovering.
1999-02-24,19:00,Chingford,Essex,,Looked like Saturn - had a ring around it. Had lots of flashing lights. Could have been an advertising balloon.
1999-02-25,22:10,Barnard Castle,County Durham,,Bright yellow object. The object was moving from South to North.
1999-02-28,22:00,"A68, Corbridge",Northumberland,,"Approx. size of ten football pitches, shaped like an arrowhead. Moving towards and upwards."
1999-03-04,21:15,Lichfield,Staffordshire,,White lights.
1999-03-05,21:00,"M60, Manchester",Greater Manchester,,Rectangle/yellow light.
1999-03-05,22:30,Falkirk,Stirlingshire,,"One dozen objects. Red, green, blue and white colours. The objects were stationary and revolving."
1999-03-06,01:15,Worthing,West Sussex,,Black ball shaped object. Also looked metallic. Changed direction of travel from South to East. Quite fast.
1999-03-07,,Ballykinler,County Down,,"Lights seen at various times, after dark. The lights were triangle and diamond shaped. They were moving in different directions."
1999-03-08,,Seaforde Village,County Down,,Lights in a circle. They were spinning clockwise and oscillating.
1999-03-09,18:30,Ammanford,Dyfed,,Two dark grey objects. They then looked translucent. They were manoeuvring and then disappeared into the cloud.
1999-03-09,10:10,Newton Abbot,Devon,,"One large circle, not constant, as it changed. Yellow and very bright. The object was moving very slowly."
1999-03-10,20:30,Broughton/Scunthorpe,Lincolnshire,,"Bright star shaped light, about the size of a hot air balloon. Object was still, then dropped in height below tree line."
1999-03-10,10:30,Bangor,Gwynedd,,Flashing lights that were various colours. Shape unknown. Moving West.
1999-03-10,20:05,Chelsea - Football Club,London,Police Officer,Four yellow lights. Changed from square to diamond shape. The object was travelling from East to West.
1999-03-11,05:10,Newcastle Emlyn,Carmarthenshire,,"One, large, round white light. Very bright. Moving from West to East."
1999-03-13,21:25,Cardiff and Pontypridd,South Glamorgan,,"Cardiff - Set of one red, blue and yellow lights in a straight line. Very bright. Pontypridd - one set of bright white lights in a triangle."
1999-03-14,23:25,Penheridge,Staffordshire,,"Low flying, hovering, silent aircraft."
1999-03-17,23:30,Shavington/Crewe,Cheshire,,"One star sized object, brighter than a star. Stationary at first and then moved Westward."
1999-03-18,21:40,Bebbington,Merseyside,,Two round objects. They had a faint red glow. One reversed on itself and then travelled North to join the other one.
1999-03-20,00:50,Frankwell/Shrewsbury,Shropshire,,A triangle of lights that went across the witness with no sound. They were travelling from North to South at a fast speed.
1999-03-24,21:25,Falkirk,Stirlingshire,,"Large, glowing object, brighter than a starry glow and bigger than a star. Appeared to have a 'line' through it."
1999-03-25,21:30,Strathmiglo,Fife,,"One bright, white light. Object was static to the South."
1999-03-26,20:45,Carshalton,Surrey,,"One large, round object. White and very bright. Was travelling North West."
1999-03-26,20:40,Alford,Hampshire,,"One large, round object. White and very bright. Was travelling North West."
1999-03-27,21:00,Kilmarnock,Ayrshire,,Bright light.
1999-03-29,21:00,Tranent,East Lothian,,"Star shape - coloured red, green and blue."
1999-03-29,23:05,Newburgh,Fife,,Triangular UFO weaving from side to side and changing colour over Newburgh for two hours.
1999-03-29,21:30,Ardross,Ross Shire,,"One object, four times larger than Venus. Halogen coloured. Brighter than Venus."
1999-03-30,21:35,Ardross,Ross Shire,,"One object, four times larger than Venus. Halogen coloured. Brighter than Venus. Was stationary for quite a while."
1999-04-01,02:05,Llandovery,Dyfed,,One capsule. Blue and silver at rear.
1999-04-06,14:45,"M2, Faversham",Kent,,Lots of swirly white lights. 40-50 ft wide. Circular and very bright. Transparent like a jellyfish. Lights were coming and going.
1999-04-10,,Wem nr Shrewsbury,Shropshire,Pilot,One large circular object with bottom missing.
1999-04-10,10:30,Withernsea,Humberside,,"Irregular pattern of lights - coloured white, blue, yellow and red."
1999-04-13,21:15,East Belfast,Northern Ireland,,"Very bright point light - source light flashing white, with four quick flashes then a gap. Object climbed rapidly in 30 seconds."
1999-04-14,11:18,Lewes,East Sussex,,"Five circular objects. Green, red and white in colour. Extremely bright. They were moving North."
1999-04-15,02:19,Tooting,London,,One circular object. White and bright.
1999-04-22,,Dagenham,Essex,,"Object as large as a saucer, painted with a fine brush. Flicking now and again."
1999-04-29,16:00,,Mid-Glamorgan,,Circular shaped object. Too high to be a bird and too low to be a plane. Was travelling from East to West.
1999-04-29,21:27,Brockley,London,,"Boomerang shaped object, silent. Moving in a North East direction."
1999-05-01,21:25,Greenock,Renfrewshire,,Five lights going into a centre and breaking away to a circle. They were circling.
1999-05-04,22:15,Modbury,Devon,,One haze of light with two tyre like spheres in the middle. Was white with a yellow haze and was very bright. Stationary at first.
1999-05-16,00:15,Worcester,Worcestershire,,"One round object, very bright. Was yellow with a red flash."
1999-05-16,21:20,Poole,Dorset,,"Various rounded, orange/yellow objects. Very bright. Fourteen at once, down to three. Going Westerly."
1999-05-18,12:45,Elgin/Moray,Morayshire,,"One object, balloon shaped. Had a bright white glow. Moved slowly to the left and then stayed stationary for a while."
1999-05-19,08:21,Bexhill,East Sussex,,A bright light hanging in the sky. Looked like it had bits trailing off of it. Appeared to be stationary.
1999-05-22,22:00,Davyhulme,Greater Manchester,,"Round and a dull orange. Was swaying, while moving upwards, and then changed direction as if guided."
1999-05-23,23:00,Oakham,Leicestershire,,"Two large, yellow, bright lights. Didn't look like they were moving."
1999-05-24,20:45,Craigie Village,Ayrshire,,"Star shaped object with a tail above it. Was a yellow/white colour and very bright. Moving, but almost vertical. Then moved West."
1999-05-26,21:25,Liverpool,Merseyside,,"White light, very bright. Object approached slowly from the South, appeared to be stationary, before heading East and vanishing."
1999-05-26,21:35,Swansea,West Glamorgan,,"One object, white and very bright. Very high up and very fast."
1999-05-29,22:30,Bonnybridge,Stirlingshire,,"Very large, bright, star shaped object. Was low in the sky and hovering."
1999-06-05,22:58,Brighton,East Sussex,,"Very large circular set of lights in a tilted circle. Then split into two semi-circular arcs, then joined up again. White and very bright."
1999-06-08,00:00,Marlborough,Wiltshire,Private Pilot,"One circular, red, yellow, blue and green object. A strong brightness. It made sudden movements."
1999-06-08,22:35,Monmouth,Gwent,,"One object, the size of a hot air balloon. Was bright, with a honeycomb of light. Was stationary and then flew off."
1999-06-08,19:24,Rhymney Valley,Gwent,,"One metallic sphere, approximately five-six metres. Was flying erratically from South to North along the Rhymney Valley."
1999-06-09,23:15,Blithbury Reservoir,Admaston/Staffs,,"The object was round. Was green, red, blue and yellow in colour. It darted from left to right and toward the Witness's vehicle."
1999-06-11,,Salisbury,Wiltshire,,"Very bright, highly reflective object. Not like usual aircraft and did not have wings or a tail. Was rotating horizontally."
1999-06-12,01:05,Flint,Clwyd,,"Disc/star shape object with coloured lights, blue and green, spinning around it. Sphere of light high in the atmosphere."
1999-06-14,16:15,Algate,London,,"One thirty foot, silver ball/sphere. Vertical at first. Was still and then moved Southwards very gradually."
1999-06-24,22:19,Hove,East Sussex,,"Object - domed shape. It had a bright, white light and was flashing. Object was stationary for about 45 minutes."
1999-06-25,00:03,,Derbyshire,,"Line of lights, very intense. Steady red lights on top. Moving away at an angle moving to the right. They were horizontal."
1999-06-26,13:30,Blanefield,Ayrshire,,"Balloon shaped object, with bright yellow on top and a black, flat base. The object was smooth, straight and level."
1999-06-30,19:40,Kingsbury,London,,"One object, bullet shaped, rounded at the sides. Was jet black and very noticeable against the light evening sky. Headed North."
1999-06-30,,Kingsbury,London,,"One large, black object. It glided. Was oscillating and climbing. Moving North."
1999-07-03,22:10,Hemford,Shropshire,,"Single circular object, the size of a golf/tennis ball. White and very bright. Very slow."
1999-07-04,20:00,Holland on Sea,Essex,,"Oval transparent, except outer edge, object, which gave the whole appearance of a smoke ring. Outline was dark. Changed shape when it moved."
1999-07-05,23:10,Scunthorpe,Lincolnshire,,"Bright, white light with a red tinge. Vertical, then started moving erratically."
1999-07-06,01:15,Eastbourne,East Sussex,,"Saucer shaped, about 80ft in diameter. Was about 20ft to 30ft off the ground. It made a rattling sound. Six beams, bright light."
1999-07-10,00:51,Rillington,North Yorkshire,,"Circular object, size unknown. It was surrounded by red and green lights. There was static."
1999-07-10,20:55,Porthcawl,Mid-Glamorgan,,One cylindrical object. White and very bright. Was moving from left to right.
1999-07-10,19:00,Clayton,Greater Manchester,,"30ft, circular object."
1999-07-10,02:45,Scunthorpe,Lincolnshire,,"Bright, white light with a red tinge. Vertical, then started moving erratically."
1999-07-11,00:00,Llangynog,Powys,,"Like a medium, bright star. Made an unusual gentle ark. Then some strange squiggles from left to right. High up in the sky."
1999-07-12,11:45,Flint,Flintshire,,"One star shaped object. Coloured lights around it - green, blue and red. Spinning."
1999-07-12,13:45,Washingborough,Lincolnshire,,"One, small kite shaped object. Was bright white in colour. Formed an arc shape, then moved away."
1999-07-12,23:10,Blandford St Mary,Dorset,,Three star shaped objects. They were all white and very bright. They were faster than an aircraft.
1999-07-12,02:00,,Wiltshire,,Line of three orange lights. Two of them were close together.
1999-07-13,02:15,Eyres Monsell,Leicestershire,,"One object was a triangle shape and the other, a 'V' shape. Both had green and red lights. One was pulsating."
1999-07-14,21:45,Bushey,Hertfordshire,,"One object with four bright, white lights on it. It moved in a straight line."
1999-07-14,15:00,Peterlee,Durham,,Bright silver object. Was stationary.
1999-07-15,23:35,Halsted,Essex,,Blue lights darting around very quickly.
1999-07-15,00:00,Eastbourne,East Sussex,,"Numerous. Bright flashing. Like satellites, but definitely not. Were slow then fast."
1999-07-15,01:10,Dwyfach,Gwynedd,,A bright light.
1999-07-24,23:30,Redcliff,Somerset,,"Ten circular objects, variety. Brightness was less than a star. Object in line, doing zig-zags. Heading North."
1999-07-25,00:20,Coventry,West Midlands,,Illuminated disc - about approximately 4 inches in diameter. Was vertical. Was moving fast in a straight line.
1999-07-25,23:05,Murthly,Tayside,,One object roughly the size of a football or melon. Yellow/orange in colour. Went to a pinpoint and disappeared.
1999-07-25,22:25,Porthcawl,Mid Glamorgan,,"One disc shaped object, bluey silver in colour. Moved in a straight line. Definitely not a star or planet."
1999-08-01,10:30,Rochdale,Greater Manchester,,Balloon shape. There were lights round the object. Was hovering for some time.
1999-08-02,21:50,Boston,Lincolnshire,,Very bright light. Orange in colour. Much bigger than aircraft lights.
1999-08-03,22:30,Slough,Berkshire,,"Single disc, star sized. White in colour and bright like a star."
1999-08-04,23:30,Glenrothes,Fife,,"One small, very bright object with a tail. Changing colours. Slight movements - side to side."
1999-08-06,22:30,Loversall,South Yorkshire,,"Both UFOs were flashing different colours. They appeared to be hovering, but no shape could be seen."
1999-08-08,22:00,Ulverton,Cumbria,,Circular flashing lights. They made extremely strange movements.
1999-08-13,,Tenterden,Kent,,"A large, brilliant light was stationary in the sky. It moved away fairly quickly and disappeared."
1999-08-17,20:50,,Carlisle,,Two blue balls of light - dancing around in the sky.
1999-08-21,21:50,,Middlesex,,One orange ball. Very bright. Was humming. Moved in a straight line.
1999-08-21,21:30,Kinloss,Morayshire,,Two lights in the sky. Very bright.
1999-08-22,19:15,Thornton/Bradford,West Yorkshire,,A black saucer/disc which was making no noise and had a bright silver light which appeared to rotate round the saucer.
1999-09-01,18:30,Ealing,London,,"One object, aircraft size. Long, thin and black in colour."
1999-09-10,17:18,Oldham,Greater Manchester,,Round ball. Bright white in colour. Was horizontal.
1999-09-11,22:15,Livermead/Torquay,Devon,,"One large, cigar shaped object. Luminescent green and very bright. The object sort of glided along."
1999-09-11,19:45,Stowmarket,Suffolk,,One yellow object. Star brightness. 'Bouncing'
1999-09-12,19:42,Lower Stoneham,East Sussex,,"Six groups of coloured lights. White, green and red lights."
1999-09-12,21:20,Sellindge/Ashford,Kent,,"Bright light, not blinding, was heading South."
1999-09-13,16:30,,Guernsey,,"One small, circular object. White and extremely bright. Object appeared to be constructed of a lattice/trellis."
1999-09-13,01:40,Penarth/Cardiff,South Glamorgan,,"Large, bright object."
1999-09-13,23:00,Newbiggin By-The-Sea,Northumbria,,"Large, bright light hovering near the coastline. Looks like a large star with a small one on top. Red light coming from the middle."
1999-09-18,07:30,,London,,"One small, round, white/silver object. Extremely bright."
1999-09-19,20:20,Marlborough,Wiltshire,,"One car sized object. Tubular shaped. It had three lights at the front, and they were very bright. Moved off at a high speed."
1999-09-20,23:30,Malton,North Yorkshire,,"Flat rugby ball - shaped oval object. Had two flashing red lights at the ends. Circled then hovered, then headed off."
1999-09-22,21:25,Longden,Shropshire,,"One brilliant ball of light. The object climbed very high and very fast in the sky, and then disappeared."
1999-09-23,10:00,Leominster,Herefordshire,,"One large object, aircraft size. Bright light in front of object. Long, with wings. Jet sound and very fast. Black smoke coming from the rear."
1999-09-24,22:10,Glengormley,Co. Antrim,,"One object with a red light. Flew level, then climbed vertically, with a grey trail of smoke. Very fast."
1999-09-25,01:30,Tinshill,West Yorkshire,,"Oblong, flexible object. Red in colour. Was very bright and then dimmed a little."
1999-09-28,04:55,Lochgreen,South Ayrshire,,"Very bright, intense light. Flared up and moved left to right, very fast. Made sudden movements and quick direction changes."
1999-09-29,,Beddingham,East Sussex,,"One large, circular, flat, brown object. Was seen hovering."
1999-10-02,,Woolston/Warrington,Cheshire,,"A beam of light was seen over a school. A noise was then heard, but not that of a plane or helicopter."
1999-10-03,20:00,Dinnington,South Yorkshire,,"A light was seen in the sky and then a square shaped object appeared, with lights at each corner."
1999-10-04,21:09,Rosyth,Fife,,"One star shaped object, that was white. Had a very bright light. Moved fast in a straight line."
1999-10-05,21:55,Llanbedrog,Gwynedd,,"One object, larger than normal aircraft, tubular shape. Was bright green tinged with blue. Moved downwards leaving trail behind."
1999-10-09,21:15,Calne,Wiltshire,,"Two lights, one large and one small. White and very bright. They were moving from left to right and then to the left again."
1999-10-10,23:50,Foxham,Wiltshire,,A single white light. Was stationary for a while. Fans of light moving left to right and back.
1999-10-11,11:20,Clitheroe,Lancashire,,"One object, like a rounded saucer that was smaller than a bi-plane. Dark on top and light underneath."
1999-10-18,06:25,Ilford,Essex,,"One cylindrical object, that was the size of fuselage or a small/medium aircraft. Bright white. Moved rapidly upwards and then disappeared."
1999-10-18,02:00,Bath,Somerset,,"One object, the size of a medium star. Shaped like a ball with three prongs. Green, red, blue and white. Very bright."
1999-10-18,19:21,Shotton,Flintshire,,"UFO with a light, was hovering. A second UFO appeared. Had a large bright, white light. Also seemed to have red and green fleck on it."
1999-10-20,02:45,Liverpool,Merseyside,,"One round, football sized object. Translucent green. Extremely bright. Moved quite slowly in a straight line."
1999-10-24,21:00,Eppingham,Surrey,,"Long streak of light in the sky resembling six-eight windows. Side to side, moving very fast."
1999-10-24,19:40,Kingston Upon Thames,Surrey,,"Green light was seen projecting from the cloud, followed by a pulsed wave of green light. Very bright. In a Southerly direction."
1999-10-25,23:59,Wetherby,West Yorkshire,,Triangle formation of lights. Suddenly gained speed and headed off North.
1999-10-25,05:45,Woolverstone,Suffolk,,"Very bright light, ten times the size of a star. Was very high in the sky, and not moving or flashing. Not an aircraft."
1999-10-25,08:00,"Hipperholme, Halifax",West Yorkshire,,A strange object was seen.
1999-10-26,18:40,Benllech,Anglesey,,"A white, onion shaped object, which was glowing white, with sparks. Was moving rapidly in a straight line."
1999-10-27,17:00,,,,"Blue and green lights, with things falling out of the sky."
1999-10-31,21:00,Lisburn,County Antrim,,"One object. Size of a bowling ball at arms length. Hexagon shaped. Had red lines on it. Very bright. It moved fast, then vanished."
1999-10-31,16:15,Grantown-on-Spey,Morayshire,,Large ball with two forks at rear. The ball and between the forks were lit. Not as fast as a jet.
1999-11-02,19:43,Urmston,Greater Manchester,,"A star like object, growing larger, then shrinking before disappearing. Moving fast."
1999-11-02,06:20,"Blurton, Stoke-on-Trent",Staffordshire,,"A small white light travelling in a straight line towards a second light, which appeared to be a star. Then object fell and light dissipated."
1999-11-06,21:20,Heysham,Lancashire,,"Four objects/lights sighted in the sky, moving at varying speeds. They moved erratically."
1999-11-08,18:00,Penicuik,Midlothian,,"Object looked like a star, but with blue and red flashing lights. Kept a constant position."
1999-11-10,20:25,Littlehampton,West Sussex,,Was described as an 'unidentified foreign object'.
1999-11-16,04:00,"Kirkham, Preston",Lancashire,,"A sphere of bright light, approximately the size of a tennis ball. Falling from the sky towards the ground."
1999-11-16,18:00,Whitby,North Yorkshire,RAF Pilot,"One bright red light, flickering. Static in the air. Was moving to the West."
1999-11-17,23:20,Maidenhead,Berkshire,,"A large circular light in the sky. After about eight minutes, it drifted off to the West."
1999-11-18,16:00,Crickhowell,Gwent,,A vertical orange line near the horizon. Moved to a horizontal position. One inch at arms length.
1999-11-20,08:12,Market Drayton,Shropshire,,"A craft with a bright, white light. The craft positioned once and then moved out of sight."
1999-11-21,22:25,Arbroath,Angus,,"Single, roundish, orange glowing light. Was moving horizontally across the sky, and away in the distance."
1999-11-22,21:15,Skipton,North Yorkshire,,"Two UFOs, red in colour, followed by what appeared to be two jets."
1999-11-26,17:30,Carcroft nr Doncaster,South Yorkshire,,"A series of ten green lights in the sky. They formed a formation, then broke formation and headed towards a large light."
1999-11-28,22:08,Pentraeth,Gwynedd,,Giant dewdrop shaped object. Had a yellow centre and a green/blue haze around the outside. Too big to be a shooting star.
1999-11-29,18:30,Durham,Tyne & Wear,,"Two small, ball shaped objects. Orange in colour. Bright and then dim. They were moving upwards."
1999-11-29,23:55,Tilbury,Essex,Police Officer,"One, green, red and white lights. Lights were brighter, than on an aeroplane or a helicopter. In sky, remaining static."
1999-11-29,,Tilbury,Essex,Police Officer,"One bright star like object, with a green hue surrounding it. Could have been a comet."
1999-11-29,23:55,Tilbury,Essex,Police Officer,"White, star like object, twinkling red and green. Did not move. It was brighter than the other stars."
1999-11-29,23:55,Chadwell St Mary,Essex,Police Officer,One object. Flickering green and red.
1999-11-29,23:20,Dagenham,Essex,,"Four lights - blue, yellow, red and white. Four shapes visible through binoculars."
1999-11-29,23:34,Dartford,Kent,,"Small light, too far away to ascertain shape. Glittering red, green and white. Did not move."
1999-12-02,02:05,Worthing,East Surrey,,Saw a UFO. Said it could have been a shooting star or a comet.
1999-12-02,03:00,Thetford,Norfolk,,"One triangular object, with two lights displayed in a similar manner to car headlights. Object rotated about a vertical axis and descended."
1999-12-03,08:30,"Deans, Livingston",West Lothian,,The witness just said it was an object.
1999-12-03,13:50,Scunthorpe,Lincolnshire,,A large cigar shaped object. The object moved very fast.
1999-12-04,22:10,Newport,Gwent,,"A bright, Venus, pale orange object. Was moving as a bird would, in and out of formation."
1999-12-05,21:55,St Peter Port,Guernsey,,Six - eight orange blobs. Reasonably light - fuselage. Resembled flight of a bird.
1999-12-07,17:45,Newport,Gwent,,One star shaped object. White and very bright. Very erratic movement.
1999-12-09,17:00,Melton/Woodbridge,Somerset,,One very large object. Had a tail. Was green in colour and glowing.
1999-12-09,16:55,Orsett,Essex,,Large Crystal ball object. The size of a light bulb. Yellowy/white in colour. Travelling in a diagonal direction.
1999-12-13,06:00,Windlesham,Surrey,,One object. Like a satellite or star. White and very bright. Very fast.
1999-12-15,08:00,Witham,Essex,,One large object. Snowdrop shape. Could be a star/possible satellite. White and very bright. Moving South-East.
1999-12-15,03:30,Glasgow,Strathclyde,,"Multiple bright lights. Occasionally red and green. Some were moving and flashing. Streaks of light. Erratic, occasionally in formation and then splitting."
1999-12-17,18:45,Swindon,Wiltshire,,Two objects. Had white lights. Brighter as they turned. There was lots of circling and spinning.
1999-12-17,10:00,Dundee,Angus,,Three bright piercing lights. Extremely bright. Three then became four.
1999-12-18,19:30,Forest Hill,London,,"White glare. Underneath, another glare, red and blue."
1999-12-19,16:00,Whiteley,Hampshire,,"A large, bright object hovering in a South West direction. A few seconds later, it vanished."
1999-12-21,08:45,Banchory,Aberdeenshire,,One circular object. White and very bright. The object was moving downwards.
1999-12-28,06:10,Swindon,Wiltshire,,"One circular object, too big to be a star. Mostly white, but coloured lights too. Moved from right to left at speed."
1999-12-29,,Dundee,Angus,,"Bright lights. Cylindrical shape, turning to a V shape. Was moving from East to West."
1999-12-31,18:45,Wigmore,Herefordshire,,A large flashing light. It then looked like a white circle flashing in the sky.
No Firm Date,,Chobham,Surrey,,"A silver object, darting back and forth. Was moving fast and then disappeared quickly. (Message taken - 3 November 1999)."
,,Hanley,Staffordshire,,"Two small dots, cream coloured. Like half way speed between a satellite and shooting star. (Sent to DAS - 10 November 1999)."
,,,,,
1999-12-05,21:55,St Peter Port,Guernsey,,Six - eight orange blobs. Reasonably light - fuselage. Resembled flight of a bird.
1999-12-07,17:45,Newport,Gwent,,One star shaped object. White and very bright. Very erratic movement.
1999-12-09,17:00,Melton/Woodbridge,Somerset,,One very large object. Had a tail. Was green in colour and glowing.
1999-12-09,16:55,Orsett,Essex,,Large Crystal ball object. The size of a light bulb. Yellowy/white in colour. Travelling in a diagonal direction.
1999-12-13,06:00,Windlesham,Surrey,,One object. Like a satellite or star. White and very bright. Very fast.
1999-12-15,08:00,Witham,Essex,,One large object. Snowdrop shape. Could be a star/possible satellite. White and very bright. Moving South-East.
1999-12-15,03:30,Glasgow,Strathclyde,,"Multiple bright lights. Occasionally red and green. Some were moving and flashing. Streaks of light. Erratic, occasionally in formation and then splitting."
1999-12-17,18:45,Swindon,Wiltshire,,Two objects. Had white lights. Brighter as they turned. There was lots of circling and spinning.
1999-12-17,10:00,Dundee,Angus,,Three bright piercing lights. Extremely bright. Three then became four.
1999-12-18,19:30,Forest Hill,London,,"White glare. Underneath, another glare, red and blue."
1999-12-19,16:00,Whiteley,Hampshire,,"A large, bright object hovering in a South West direction. A few seconds later, it vanished."
1999-12-21,08:45,Banchory,Aberdeenshire,,One circular object. White and very bright. The object was moving downwards.
1999-12-28,06:10,Swindon,Wiltshire,,"One circular object, too big to be a star. Mostly white, but coloured lights too. Moved from right to left at speed."
1999-12-29,,Dundee,Angus,,"Bright lights. Cylindrical shape, turning to a V shape. Was moving from East to West."
1999-12-31,18:45,Wigmore,Herefordshire,,A large flashing light. It then looked like a white circle flashing in the sky.
No Firm Date,,Chobham,Surrey,,"A silver object, darting back and forth. Was moving fast and then disappeared quickly. (Message taken - 3 November 1999)."
,,Hanley,Staffordshire,,"Two small dots, cream coloured. Like half way speed between a satellite and shooting star. (Sent to DAS - 10 November 1999)."
,,,,,
2000-01-01,07:30,Tenbury Wells,Shropshire,,"A cigar shaped object. Grey in colour, with two windows, with bright lights shining out of them. Travelling from East to West."
2000-01-03,20:45,Evanton,Ross-Shire,,"A gold disc was seen. It flew through cloud, reappeared and then disappeared."
2000-01-04,00:30,Erdingham/Birmingham,West Midlands,,"One large, triangular shaped object. There were three red lights at each corner of the triangle. Also two-three white lights on the object."
2000-01-05,01:20,Wootton Bassett,Wiltshire,,One single object. Changed from white to green in colour with an orange tinge. Brighter than any star and flashing. Moved to the right.
2000-01-09,02:45,Runcorn,Cheshire,,"One round, golf ball shaped object. Orange and white in colour and very bright. Moving East."
2000-01-09,21:36,Barnstable,Devon,,One cylindrical object. Blue and green in colour. Bright and pulsating. Was hovering and moving gradually South-South East.
2000-01-09,18:06,,Cheshire,,The object eclipsed the moon. The object was a ring shape.
2000-01-13,23:45,Motherwell,Lanarkshire,,"One, pulsating orange ball. Object was travelling North to South."
2000-01-14,,,London,,"A floating object, sitting in front of a cloud formation. Flat and reflecting the sunlight."
2000-01-17,21:20,Leeds,West Yorkshire,,Disc that was illuminated. About 200 ft up and 150 ft long.
2000-01-17,21:03,Newbridge,Dumfries & Galloway,,Two stationary oblong/cigar shaped figures. They were changing colour.
2000-01-17,21:40,Cottesmore,Leicestershire,,"Several lights falling to the ground, towards a bright larger light. The lights were white in colour."
2000-01-19,22:10,Birmingham,West Midlands,,"A brilliant white light, travelling at extreme velocity."
2000-01-20,23:02,Coaltown/Balgonie,Fife,,"Ball shaped object. 40 foot in diameter. Red, purple, green and yellow in colour. A white light was pulsating. Moving horizontally and vertically."
2000-01-21,00:40,Glen Rothes,Fife,,Ball shaped object. 40 foot in diameter. Was bright orange and looked solid. Stationary.
2000-01-21,20:30,Southampton,Hampshire,,"Two items, the size of footballs. They had tails that made them look like tadpoles. Were orange and very bright. Rapidly moving."
2000-01-22,20:05,Fareham,Hampshire,,"An object, like the size of a 10 storey block of flats. Hundreds of white lights. All passed over in formation. They were moving very fast."
2000-01-23,02:30,Birmingham,West Midlands,,"One single object, about the size of a mini car, but round. Blue and very bright. The object was stationary, then shot upwards."
2000-01-23,21:00,Whaplode,Lincolnshire,,"An object was flashing intermittently at regular intervals. It was hovering. It had an underside light, which remained static."
2000-01-29,16:15,Dibden nr Southampton,Hampshire,,"Three objects, the size of airliners, and many others, that looked like large shadows. They were all black. Moved in a straight line."
2000-02-01,,Invergowrie,Angus,,Slow moving lights. They moved from the North to the South and then stopped.
2000-02-01,08:00,Colchester,Essex,,Square shaped object. Greyish in colour. Moving to the North.
2000-02-02,18:38,Hull,Humberside,,Four flashing lights in the sky. They then formed a square. They were moving North-North East.
2000-02-03,19:10,Melksham,Wiltshire,,"Four, large, round, orange lights. They were in symmetrical formation and occasionally, a light would black out and re-appear."
2000-02-06,19:28,Bideford,North Devon,,"Object, triangular in shape. Changed colour - red and green. The object swayed from side to side and then spun in the air."
2000-02-10,13:40,Shrewsbury,Shropshire,,A saucer shaped craft that was hovering. Also spun. Had protrusions on the outside and five dark circular areas in the middle.
2000-02-11,18:20,Banff,Banffshire,,"Two star like objects, with the larger emitting a light beam, which was cone shaped. Pinkish in colour."
2000-02-11,18:05,Banff,Banffshire,,"One object, could only see light, as was shrouded in a sort of mist. Purple light for about five seconds. Very deep blue colour."
2000-02-11,18:00,Near Wick,Caithness,,"Two, white, bright lights. Lower of the two lights, looked like a search light. They were very high."
2000-02-11,18:05,Bowness-on-Windermere,Cumbria,,"Two lights, were bright and star shaped. White in colour. One was lighter than the other. They glowed from behind."
2000-02-13,18:30,Chapeltown/Leeds,West Yorkshire,,"Two round objects, bigger than stars. Both red and white in colour. Very bright. Stationary."
2000-02-14,18:20,Coaltown/Balgonie,Fife,,"One mass of white light, with a green and yellow outline. Was flashing. Stationary in the sky."
2000-02-19,18:50,Little Town,West Yorkshire,,"Three large, round shaped objects. Dull in colour. They moved from North to South, vertically up and then down."
2000-02-23,00:15,Colinton/Edinburgh,Midlothian,,"One oval object. Very bright. Tail like a kite. Moving very fast. Travelling horizontal to the West, dipped, then disappeared."
2000-02-25,19:30,Newport,Gwent,,Three objects/lights that were flickering on and off. They moved West and then moved to the South.
2000-02-26,17:55,Finsbury Park,London,,One odd shaped object. Black in colour. Was faster than a plane and moved in a straight line.
2000-03-01,16:50,Westgate,Lancashire,,One cigar shaped object. Very bright. Very high up in the sky. Slow moving.
2000-03-01,03:45,Whitechapel Police Stn,London,Several Police Officers,"A small, red light moving slowly to the South. It did a U turn and moved off to the North at great speed. Then moved in tight circles."
2000-03-07,18:30,Wellingborough,Northants,,"A UFO disc, 33,000 feet up, flying above a jumbo jet."
2000-03-12,20:00,Stamford Hill,London,,"One star shaped object, which was bright white. Steady movement and then did 90 degree turn and headed North."
2000-03-16,21:37,Darlington,County Durham,,Large number of lights flashing and moving around. White light - like a broad band and then tight! They made a circular sweep.
2000-03-17,21:34,Blairgowrie,Perthshire,,"Similar trajectory to a satellite, which brightened during the period of observation. Moved in a Southerly direction."
2000-03-18,19:12,Falmouth,Cornwall,,"One object with green bulbous front, tapering off to a lighter green. Had a huge yellow and red tail. Moving very fast horizontally."
2000-03-18,19:08,Pickering,North Yorkshire,,"Meteor, very bright, with a golden trail."
2000-03-20,20:30,Wainford,Suffolk,,"Five or more bright lights, illuminated in the sky. They were constant, then disappeared."
